id,growth
01-01,1.0
01-02,1.9
01-03,1.4
01-04,1.4
01-07,0.5
01-08,2.0
01-09,0.7
01-10,1.0
01-11,1.2
01-12,1.3
01-14,0.7
01-16,0.1
01-17,1.5
01-18,1.8
01-20,1.9
01-22,1.2
01-23,1.4
01001,-0.7
01002,3.8
01004,2.3
01005,1.2
01006,-2.5
01007,1.5
01008,2.6
01009,0.8
01010,3.1
01011,2.9
01012,1.7
01013,0.3
01014,-0.0
01015,0.8
01016,3.3
01017,0.1
01019,-4.4
01021,1.8
01022,1.7
01023,-3.5
01024,3.9
01025,2.6
01026,0.8
01027,3.5
01028,-1.6
01029,3.8
01030,-0.6
01031,1.0
01032,2.2
01033,0.4
01034,0.5
01035,3.0
01036,1.9
01037,0.4
01038,-0.3
01039,3.9
01040,5.2
01041,0.8
01042,1.5
01043,1.3
01044,4.3
01045,3.8
01046,1.3
01047,-0.3
01049,0.7
01050,5.9
01051,-1.9
01052,0.4
01053,-0.2
01054,2.9
01056,3.0
01057,0.2
01058,4.9
01059,-0.2
01060,0.8
01061,5.7
01062,2.0
01063,0.2
01064,1.9
01065,1.0
01066,2.3
01067,-1.2
01068,-1.2
01069,0.2
01071,5.2
01072,2.5
01073,2.1
01074,2.8
01075,-0.5
01076,3.1
01077,-0.9
01078,5.3
01079,1.9
01080,1.2
01081,2.0
01082,1.1
01083,-0.6
01084,2.3
01085,3.2
01087,-0.6
01088,0.3
01089,2.0
01090,0.6
01091,0.9
01092,1.8
01093,0.2
01094,1.7
01095,-0.0
01096,1.4
01097,3.7
01098,2.5
01099,2.9
01100,1.1
01101,-2.4
01102,2.1
01103,3.0
01104,2.2
01105,0.8
01106,2.9
01107,0.6
01108,0.3
01109,7.6
01110,0.2
01111,0.6
01112,1.9
01113,1.2
01114,1.4
01115,3.3
01116,1.8
01117,5.5
01118,1.7
01119,2.4
01121,0.9
01122,-0.7
01123,1.1
01124,5.7
01125,3.0
01127,1.3
01128,2.2
01129,-0.9
01130,4.2
01133,1.1
01134,0.5
01135,2.7
01136,1.2
01138,-0.1
01139,1.3
01140,1.6
01141,1.3
01142,1.4
01143,2.6
01144,2.3
01145,0.3
01146,1.4
01147,-0.1
01148,-2.2
01149,1.5
01150,3.6
01151,0.5
01152,0.1
01153,3.9
01154,0.7
01155,2.9
01156,3.0
01157,2.4
01158,2.2
01159,0.2
01160,2.7
01162,3.4
01163,1.6
01165,4.5
01166,0.0
01167,1.0
01169,1.3
01170,1.9
01171,0.7
01172,1.0
01173,2.4
01174,3.9
01175,3.4
01176,2.4
01177,4.7
01179,2.1
01180,2.8
01181,1.2
01182,0.4
01183,2.3
01184,1.6
01185,-1.0
01186,1.7
01187,0.0
01188,1.8
01189,2.8
01190,1.2
01191,2.1
01192,0.7
01193,2.1
01194,1.3
01195,3.6
01196,1.9
01197,1.2
01198,1.7
01199,1.6
01200,5.3
01202,0.3
01203,1.2
01204,2.6
01205,0.4
01206,0.5
01207,0.1
01208,4.7
01209,3.7
01210,0.4
01211,2.0
01212,-0.1
01213,0.6
01214,-2.2
01215,-1.4
01216,1.5
01218,1.8
01219,-1.4
01221,3.4
01224,4.3
01225,0.3
01227,0.5
01228,0.2
01229,4.5
01230,1.5
01231,0.9
01232,0.3
01233,2.9
01234,-0.5
01235,4.8
01236,2.6
01237,0.3
01238,0.4
01239,2.1
01240,0.2
01241,0.0
01242,-0.5
01243,1.4
01244,-0.2
01245,1.2
01246,0.9
01247,-0.5
01248,-0.2
01249,0.4
01250,1.0
01252,2.3
01254,2.2
01255,2.6
01257,0.1
01258,3.0
01259,-0.2
01260,2.5
01261,1.7
01262,1.4
01263,0.3
01264,2.0
01265,-0.6
01266,0.9
01267,-1.1
01268,0.7
