insee,name,density,x,y
01154,Étrez,66,5.19,46.34
01155,Évosges,12,5.50,45.96
01156,Faramans,66,5.12,45.91
01157,Fareins,267,4.76,46.02
01158,Farges,64,5.90,46.17
01159,Feillens,211,4.89,46.34
01160,Ferney-Voltaire,1850,6.11,46.25
01162,Flaxieu,23,5.74,45.81
01163,Foissiat,49,5.18,46.38
01165,Francheleins,107,4.81,46.07
01166,Frans,247,4.78,45.99
01167,Garnerans,77,4.83,46.21
01169,Genouilleux,147,4.79,46.12
01170,Béard-Géovreissiat,208,5.55,46.19
01171,Géovreisset,278,5.61,46.25
01172,Germagnat,16,5.45,46.31
01173,Gex,333,6.05,46.35
01174,Giron,18,5.78,46.22
01175,Gorrevod,119,4.95,46.42
01176,Le Grand-Abergement,4,5.69,46.09
01177,Grand-Corent,24,5.43,46.21
01179,Grièges,131,4.85,46.26
01180,Grilly,104,6.11,46.33
01181,Groissiat,184,5.61,46.23
01182,Groslée,49,5.57,45.72
01183,Guéreins,308,4.78,46.11
01184,Hautecourt-Romanèche,37,5.43,46.16
01185,Hauteville-Lompnes,78,5.58,45.97
01186,Hostiaz,8,5.54,45.91
01187,Hotonnes,11,5.70,46.03
01188,Illiat,29,4.89,46.19
01189,Injoux-Génissiat,38,5.76,46.05
01190,Innimond,9,5.57,45.79
01191,Izenave,13,5.52,46.04
01192,Izernore,111,5.56,46.22
01193,Izieu,28,5.64,45.66
01194,Jassans-Riottier,1311,4.76,45.98
01195,Jasseron,88,5.31,46.21
01196,Jayat,67,5.11,46.37
01197,Journans,140,5.33,46.15
01198,Joyeux,15,5.10,45.95
01199,Jujurieux,140,5.41,46.05
01200,Labalme,23,5.49,46.09
01202,Lagnieu,249,5.33,45.89
01203,Laiz,111,4.90,46.25
01204,Lalleyriat,17,5.72,46.15
01205,Lancrans,107,5.84,46.13
01206,Lantenay,40,5.54,46.05
01207,Lapeyrouse,15,4.98,45.99
01208,Lavours,24,5.77,45.81
01209,Léaz,54,5.88,46.11
01210,Lélex,13,5.93,46.29
01211,Lent,44,5.20,46.12
01212,Lescheroux,34,5.15,46.41
01213,Leyment,89,5.29,45.93
01214,Leyssard,16,5.48,46.16
01215,Lhôpital,14,5.76,46.02
01216,Lhuis,36,5.54,45.74
01218,Lochieu,14,5.74,45.93
01219,Lompnas,12,5.52,45.81
01221,Lompnieu,11,5.66,45.97
01224,Loyettes,141,5.22,45.79
01225,Lurcy,82,4.78,46.06
01227,Magnieu,69,5.71,45.78
01228,Maillat,58,5.53,46.12
01229,Malafretaz,117,5.14,46.33
01230,Mantenay-Montlin,28,5.11,46.43
01231,Manziat,154,4.90,46.36
01232,Marboz,55,5.24,46.34
01233,Marchamp,10,5.55,45.77
01234,Marignieu,44,5.72,45.80
01235,Marlieux,57,5.07,46.06
01236,Marsonnas,55,5.06,46.34
01237,Martignat,120,5.61,46.20
01238,Massieux,781,4.83,45.91
01239,Massignieu-de-Rives,66,5.76,45.76
01240,Matafelon-Granges,30,5.54,46.26
01241,Meillonnas,73,5.34,46.25
01242,Mérignat,41,5.44,46.07
01243,Messimy-sur-Saône,204,4.76,46.05
01244,Meximieux,531,5.20,45.91
01245,Bohas-Meyriat-Rignat,36,5.38,46.14
01246,Mézériat,110,5.05,46.24
01247,Mijoux,17,6.01,46.36
01248,Mionnay,108,4.92,45.90
01249,Miribel,373,4.94,45.84
01250,Misérieux,241,4.81,45.98
01252,Mogneneins,88,4.82,46.14
01254,Montagnat,127,5.28,46.17
01255,Montagnieu,86,5.46,45.80
01257,Montanges,24,5.79,46.17
01258,Montceaux,122,4.80,46.10
01259,Montcet,98,5.11,46.22
01260,Le Montellier,16,5.07,45.93
01261,Monthieux,60,4.95,45.96
01262,Montluel,177,5.02,45.89
01263,Montmerle-sur-Saône,925,4.76,46.09
01264,Montracol,68,5.12,46.19
01265,Montréal-la-Cluse,267,5.59,46.18
01266,Montrevel-en-Bresse,235,5.11,46.32
01267,Nurieux-Volognat,54,5.51,46.18
01268,Murs-et-Gélignieux,38,5.66,45.64
01269,Nantua,281,5.61,46.15
01271,Nattages,55,5.75,45.72
01272,Neuville-les-Dames,56,5.01,46.16
01273,Neuville-sur-Ain,81,5.37,46.09
01274,Les Neyrolles,67,5.64,46.14
01275,Neyron,468,4.93,45.82
01276,Niévroz,144,5.06,45.82
01277,Nivollet-Montgriffon,15,5.46,46.00
01279,Oncieu,12,5.47,45.97
01280,Ordonnaz,10,5.54,45.83
01281,Ornex,714,6.09,46.28
01282,Outriaz,43,5.56,46.07
01283,Oyonnax,620,5.65,46.26
01284,Ozan,97,4.92,46.39
01285,Parcieux,358,4.83,45.92
01286,Parves,67,5.74,45.74
01288,Péron,89,5.92,46.19
01289,Péronnas,347,5.22,46.17
01290,Pérouges,64,5.18,45.88
01291,Perrex,72,4.97,46.25
01292,Le Petit-Abergement,5,5.65,46.07
01293,Peyriat,29,5.51,46.15
01294,Peyrieu,59,5.68,45.68
01295,Peyzieux-sur-Saône,67,4.82,46.12
01296,Pirajoux,29,5.27,46.39
01297,Pizay,69,5.09,45.89
01298,Plagne,22,5.72,46.19
01299,Le Plantay,27,5.09,46.02
01300,Le Poizat,25,5.68,46.14
01301,Polliat,118,5.14,46.25
01302,Pollieu,42,5.75,45.80
01303,Poncin,85,5.42,46.09
01304,Pont-d'Ain,238,5.35,46.05
01305,Pont-de-Vaux,300,4.93,46.44
01306,Pont-de-Veyle,827,4.88,46.26
01307,Port,200,5.58,46.16
01308,Pougny,105,5.95,46.15
01309,Pouillat,15,5.42,46.32
01310,Prémeyzel,29,5.64,45.68
01311,Prémillieu,5,5.56,45.88
01312,Pressiat,39,5.38,46.32
01313,Prévessin-Moëns,614,6.07,46.26
01314,Priay,98,5.28,46.02
01316,Pugieu,37,5.65,45.82
01317,Ramasse,27,5.36,46.19
01318,Rancé,70,4.86,45.97
01319,Relevant,38,4.94,46.08
01320,Replonges,220,4.88,46.31
01321,Revonnas,112,5.34,46.16
01322,Reyrieux,275,4.83,45.94
01323,Reyssouze,102,4.91,46.43
01325,Rignieux-le-Franc,64,5.17,45.95
01328,Romans,27,5.02,46.12
01329,Rossillon,18,5.60,45.84
01330,Ruffieu,14,5.65,46.00
01331,Saint-Alban,20,5.45,46.10
01332,Saint-André-de-Bâgé,253,4.91,46.30
01333,Saint-André-de-Corcy,143,4.95,45.93
01334,Saint-André-d'Huiriat,60,4.91,46.21
01335,Saint-André-le-Bouchoux,36,5.08,46.11
01336,Saint-André-sur-Vieux-Jonc,46,5.14,46.15
01337,Saint-Bénigne,73,4.95,46.45
01338,Saint-Benoît,37,5.58,45.69
01339,Saint-Bernard,443,4.74,45.95
01340,Saint-Bois,14,5.63,45.70
01341,Saint-Champ,29,5.73,45.78
01342,Sainte-Croix,49,5.05,45.90
01343,Saint-Cyr-sur-Menthon,101,4.97,46.28
01344,Saint-Denis-lès-Bourg,438,5.18,46.21
01345,Saint-Denis-en-Bugey,834,5.32,45.95
01346,Saint-Didier-d'Aussiat,59,5.06,46.31
01347,Saint-Didier-de-Formans,273,4.78,45.96
01348,Saint-Didier-sur-Chalaronne,111,4.82,46.18
01349,Saint-Éloi,31,5.15,45.93
01350,Saint-Étienne-du-Bois,88,5.28,46.27
01351,Saint-Étienne-sur-Chalaronne,71,4.87,46.15
01352,Saint-Étienne-sur-Reyssouze,40,5.01,46.40
01353,Sainte-Euphémie,343,4.79,45.97
01354,Saint-Genis-Pouilly,964,6.04,46.25
01355,Saint-Genis-sur-Menthon,39,5.01,46.28
01356,Saint-Georges-sur-Renon,37,5.03,46.10
01357,Saint-Germain-de-Joux,40,5.75,46.18
01358,Saint-Germain-les-Paroisses,25,5.62,45.77
01359,Saint-Germain-sur-Renon,15,5.06,46.08
01360,Saint-Jean-de-Gonville,121,5.94,46.22
01361,Saint-Jean-de-Niost,101,5.21,45.84
01362,Saint-Jean-de-Thurigneux,48,4.90,45.96
01363,Saint-Jean-le-Vieux,106,5.38,46.03
01364,Saint-Jean-sur-Reyssouze,27,5.06,46.40
01365,Saint-Jean-sur-Veyle,97,4.92,46.27
01366,Sainte-Julie,84,5.28,45.88
01367,Saint-Julien-sur-Reyssouze,98,5.10,46.40
01368,Saint-Julien-sur-Veyle,75,4.96,46.20
01369,Saint-Just,262,5.28,46.19
01370,Saint-Laurent-sur-Saône,3340,4.84,46.31
01371,Saint-Marcel,103,4.99,45.95
01372,Saint-Martin-de-Bavel,50,5.68,45.85
01373,Saint-Martin-du-Frêne,57,5.57,46.14
01374,Saint-Martin-du-Mont,60,5.33,46.11
01375,Saint-Martin-le-Châtel,62,5.12,46.29
01376,Saint-Maurice-de-Beynost,553,4.98,45.83
01378,Saint-Maurice-de-Gourdans,97,5.17,45.82
01379,Saint-Maurice-de-Rémens,70,5.27,45.95
01380,Saint-Nizier-le-Bouchoux,24,5.18,46.45
01381,Saint-Nizier-le-Désert,36,5.14,46.05
01382,Sainte-Olive,40,4.94,46.01
01383,Saint-Paul-de-Varax,58,5.13,46.10
01384,Saint-Rambert-en-Bugey,78,5.44,45.95
01385,Saint-Rémy,131,5.17,46.18
01386,Saint-Sorlin-en-Bugey,118,5.38,45.89
01387,Saint-Sulpice,33,5.04,46.32
01388,Saint-Trivier-de-Courtes,65,5.07,46.46
01389,Saint-Trivier-sur-Moignans,43,4.90,46.06
01390,Saint-Vulbas,47,5.27,45.82
01391,Salavre,37,5.35,46.36
01392,Samognat,49,5.59,46.26
01393,Sandrans,18,4.98,46.07
01396,Sault-Brénaz,183,5.40,45.87
01397,Sauverny,566,6.11,46.31
01398,Savigneux,84,4.86,46.00
01399,Ségny,544,6.07,46.29
01400,Seillonnaz,15,5.50,45.80
01401,Sergy,215,5.99,46.26
01402,Sermoyer,40,4.98,46.50
01403,Serrières-de-Briord,162,5.44,45.81
01404,Serrières-sur-Ain,15,5.45,46.15
01405,Servas,91,5.18,46.14
01406,Servignat,21,5.06,46.44
01407,Seyssel,396,5.83,45.95
01408,Simandre-sur-Suran,42,5.42,46.23
01409,Songieu,6,5.72,45.98
01410,Sonthonnax-la-Montagne,22,5.51,46.22
01411,Souclin,20,5.43,45.88
01412,Sulignat,51,4.96,46.17
01413,Surjoux,17,5.80,46.03
01414,Sutrieu,12,5.65,45.93
01415,Talissieu,90,5.72,45.86
01416,Tenay,83,5.51,45.92
01417,Thézillieu,12,5.60,45.89
01418,Thil,200,5.02,45.82
01419,Thoiry,198,5.97,46.24
01420,Thoissey,1186,4.80,46.17
01421,Torcieu,66,5.40,45.92
01422,Tossiat,135,5.30,46.14
01423,Toussieux,168,4.83,45.96
01424,Tramoyes,127,4.96,45.87
01425,La Tranclière,20,5.26,46.10
01426,Treffort-Cuisiat,57,5.36,46.28
01427,Trévoux,1176,4.77,45.94
01428,Valeins,24,4.87,46.11
01429,Vandeins,70,5.08,46.22
01430,Varambon,65,5.29,46.04
01431,Vaux-en-Bugey,146,5.36,45.92
01432,Verjon,50,5.35,46.35
01433,Vernoux,31,5.11,46.48
01434,Versailleux,19,5.11,45.99
01435,Versonnex,364,6.10,46.30
01436,Vesancy,50,6.08,46.36
01437,Vescours,18,5.03,46.47
01439,Vésines,26,4.86,46.36
01441,Vieu-d'Izenave,29,5.55,46.09
01442,Vieu,58,5.69,45.89
01443,Villars-les-Dombes,180,5.05,45.99
01444,Villebois,80,5.45,45.85
01445,Villemotier,46,5.31,46.35
01446,Villeneuve,53,4.85,46.03
01447,Villereversure,69,5.39,46.19
01448,Villes,39,5.76,46.10
01449,Villette-sur-Ain,35,5.25,46.01
01450,Villieu-Loyes-Mollon,201,5.23,45.93
01451,Viriat,137,5.22,46.25
01452,Virieu-le-Grand,91,5.64,45.85
01453,Virieu-le-Petit,19,5.74,45.91
01454,Virignin,119,5.71,45.73
01456,Vongnes,36,5.72,45.81
01457,Vonnas,160,5.00,46.22
02-01,Bohain-en-Vermandois,46,,
02-02,Château-Thierry,31,,
02-03,Chauny,47,,
02-04,Essômes-sur-Marne,25,,
02-05,Fère-en-Tardenois,28,,
02-06,Guignicourt,25,,
02-07,Guise,33,,
02-08,Hirson,26,,
02-09,Laon-1,42,,
02-10,Laon-2,29,,
02-11,Marle,26,,
02-12,Ribemont,40,,
02-13,Saint-Quentin-1,31,,
02-14,Saint-Quentin-2,39,,
02-15,Saint-Quentin-3,33,,
02-16,Soissons-1,33,,
02-17,Soissons-2,39,,
02-18,Tergnier,38,,
02-19,Vervins,24,,
02-20,Vic-sur-Aisne,36,,
02-21,Villers-Cotterêts,25,,
02001,Abbécourt,91,3.18,49.60
02002,Achery,90,3.40,49.69
02003,Acy,86,3.42,49.35
02004,Agnicourt-et-Séchelles,19,3.96,49.72
02005,Aguilcourt,37,3.97,49.39
02006,Aisonville-et-Bernoville,31,3.51,49.93
02007,Aizelles,23,3.82,49.49
02008,Aizy-Jouy,20,3.51,49.44
02009,Alaincourt,88,3.37,49.77
02010,Allemant,34,3.45,49.46
02011,Ambleny,66,3.18,49.38
02012,Ambrief,14,3.40,49.32
02013,Amifontaine,15,3.92,49.50
02014,Amigny-Rouy,57,3.30,49.61
02015,Ancienville,20,3.21,49.22
02016,Andelain,68,3.37,49.64
02017,Anguilcourt-le-Sart,33,3.43,49.69
02018,Anizy-le-Château,203,3.43,49.50
02019,Annois,66,3.18,49.72
02020,Any-Martin-Rieux,26,4.22,49.88
02021,Archon,13,4.12,49.74
